Jeenulakunta & Valasavandla palli;12161430060107;11/11/2014;882;3000;7;21.00;
Pothavandla palli H/o Gandlapenta;12161430081209;10/12/2014;558;5000;3;15.00;
Kota palli (Koturu) H/o Malameeda palli;12161430050404;28/12/2014;823;5000;5;25.00;
Yerragodula palli H/o Godduvelagala;12161430130312;01/02/2015;260;3000;4;6.00;
Thoo palli;12161430010901;23/02/2015;769;3000;4;15.00;
Kurumamidi H.W. Kotha palli & Sugali Thanda;12161430011401;01/04/2015;241;3000;2;20.00;
Pacharu mekala Thanda;12161430050905;01/04/2015;365;5000;2;10.00;
Diguva Madiga palli & Eguva Mala palli H/o Bandla palli;123901005;12/08/2014;199;5000;4;5.00;
Nagappagari palli;123901007;12/08/2014;164;5000;2;5.00;
Eguva Madiga palli H/o Bandla palli;123901004;25/08/2014;144;5000;2;5.00;
Yerrasanivari palli H/o Talupula;123900710;12/08/2014;253;5000;3;5.00;
