Contingency Plan-Drought Habitations Report - 2016,,,,,,,,,,,,,,,,,,,,,,,
District:PRAKASAM,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Mandal,HabitationName/Code,Scarcity Name,Transportation,,Hiring of Private Sources,,Flushing of BW,,Deepening of OW,,Deepening of OW,,Anticipated max.period for,,Filling of SS Tanks,,,Power Problem,Power Estimate,Measures To Tackle Scarcity,,Remarks
,,,,,,,,,,(Includes Flushing),,,,Trans/Hiring,,,,,,,permanently,,
,,,,Trans,Transport Estimate,Hiring of Sources,Hiring Estimate,Flushing,Flushing Estimate,Deepening,Deepening Estimate,Deepening OW,Deepening OW Estimate,From Date,To Date,SST NUM,SST EST,SCHEME,,,Type Of Work,Work Estimate Cost,
,,,,Yes/No,,,,,,,,,,,,,,,,,,,
67,ZARUGUMALLI,VARDHINENI PALEM/,BOREWELL SILT RAISING,No,0,0,0,3,0.13,0,0,0,0,-,-,0,0,-,No,0,OTHERS,2,New source
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
68,ZARUGUMALLI,GONGATI REDDY PALEM/,BOREWELL SILT RAISING,No,0,0,0,4,0.18,0,0,0,0,-,-,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
69,ZARUGUMALLI,CHATUKU PADU/,BOREWELL SILT RAISING,No,0,0,0,2,0.09,0,0,0,0,-,-,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
70,ZARUGUMALLI,KAMEPALLY/,BOREWELL SILT RAISING,No,0,0,0,2,0.09,0,0,0,0,-,-,0,0,-,No,0,OTHERS,2,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
71,CUMBUM,PORUMAMILLAPALLI/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,2,0.8,0,0,########,########,0,0,-,No,0,AUG,0.5,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
72,CUMBUM,CHINNA CUMBUM/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,2,0.8,0,0,########,########,0,0,-,No,0,AUG,1,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
73,CUMBUM,DEVANAGARAM/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,2,0.8,0,0,########,########,0,0,-,No,0,EXTN,1,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
74,CUMBUM,GOVINDAPURAM/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,2,0.8,0,0,########,########,0,0,-,No,0,AUG,0.5,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
75,CUMBUM,DARGA/,G.W TABLE DEPLETION,No,0,0,0,0,0,3,1.2,0,0,-,-,0,0,-,No,0,AUG,2,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
76,CUMBUM,LINGAPURAM/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,3,1.2,0,0,########,########,0,0,-,No,0,AUG,2,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
77,CUMBUM,PEDDA NALLAKALVA/,G.W TABLE DEPLETION,No,0,1,0.06,0,0,2,0.8,0,0,########,########,0,0,-,No,0,AUG,1,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
78,CUMBUM,YERRAPALEM/,G.W TABLE DEPLETION,No,0,1,0.06,3,0.15,2,0.8,0,0,########,########,0,0,-,No,0,AUG,1.5,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
79,CUMBUM,CHINNA NALLAKALVA/,G.W TABLE DEPLETION,No,0,1,0.06,1,0.05,1,0.4,0,0,########,########,0,0,-,No,0,AUG,0.5,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
80,CUMBUM,NARAVAKINDIPALLI/,G.W TABLE DEPLETION,No,0,1,0.06,1,0.05,1,0.4,0,0,########,########,0,0,-,No,0,AUG,0.5,-
