District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,KALLUR,15,0.005295,,Ayyagari Palle,1,0.000353,,,,,,,,,,829,31,0.010943
,,,,KALYANDURG,41,0.014473,,Ayyanna Agraharam,1,0.000353,,,,,,,,,,830,34,0.012002
,,,,KAMALAPURAM,9,0.003177,,Ayyannakota,2,0.000706,,,,,,,,,,831,56,0.019768
,,,,KAMAVARAPUKOTA,1,0.000353,,Ayyannapalem,1,0.000353,,,,,,,,,,832,30,0.01059
,,,,KAMBADUR,12,0.004236,,Ayyaparaju Palem,1,0.000353,,,,,,,,,,833,5,0.001765
,,,,KAMBHAMVARIPALLE,44,0.015532,,Ayyavandlapalle,2,0.000706,,,,,,,,,,834,90,0.03177
,,,,KANAGANAPALLE,20,0.00706,,Ayyavari Palle,1,0.000353,,,,,,,,,,835,59,0.020827
,,,,KANCHIKACHERLA,3,0.001059,,Ayyavaripalle,12,0.004236,,,,,,,,,,836,101,0.035653
,,,,KANCHILI,32,0.011296,,B.Kothakota,1,0.000353,,,,,,,,,,837,68,0.024004
,,,,KANDUKUR,44,0.015532,,Bachchupalle,1,0.000353,,,,,,,,,,838,9,0.003177
,,,,KANEKAL,115,0.040595,,Bada Puram,1,0.000353,,,,,,,,,,839,43,0.015179
,,,,KANIGIRI,96,0.033888,,Baddepudi,1,0.000353,,,,,,,,,,840,6,0.002118
,,,,KARVETINAGAR,27,0.009531,,Badikayalapalle,1,0.000353,,,,,,,,,,841,5,0.001765
,,,,KASIMKOTA,14,0.004942,,Baduguleru,2,0.000706,,,,,,,,,,842,17,0.006001
,,,,KAVALI,1,0.000353,,Baginayakana Halli,1,0.000353,,,,,,,,,,843,64,0.022592
,,,,KAVITI,34,0.012002,,Baguvalasa,1,0.000353,,,,,,,,,,844,7,0.002471
,,,,KHAJIPET,5,0.001765,,Baippagari Palle,2,0.000706,,,,,,,,,,845,4,0.001412
,,,,KODUMUR,3,0.001059,,Baireddipalle,2,0.000706,,,,,,,,,,846,19,0.006707
,,,,KODUR,6,0.002118,,Bairisarangapuram,2,0.000706,,,,,,,,,,848,4,0.001412
,,,,KOLIMIGUNDLA,17,0.006001,,Bairupalle,1,0.000353,,,,,,,,,,849,18,0.006354
,,,,KOMARADA,19,0.006707,,Baitakodiambedu,2,0.000706,,,,,,,,,,850,11,0.003883
,,,,KOMAROLU,42,0.014826,,Baitapalle,6,0.002118,,,,,,,,,,851,20,0.00706
,,,,KONAKANAMITLA,35,0.012355,,Balada,1,0.000353,,,,,,,,,,852,10,0.00353
,,,,KONDAPI,34,0.012002,,Balajipuram,1,0.000353,,,,,,,,,,854,44,0.015532
,,,,KONDAPURAM,21,0.007413,,Balapanur,1,0.000353,,,,,,,,,,855,31,0.010943
,,,,KORISAPADU,4,0.001412,,Balarampuram,1,0.000353,,,,,,,,,,856,6,0.002118
,,,,KOSIGI,13,0.004589,,Balasamudram,1,0.000353,,,,,,,,,,857,40,0.01412
,,,,KOTABOMMALI,38,0.013414,,Baligam,2,0.000706,,,,,,,,,,858,1,0.000353
,,,,KOTANANDURU,9,0.003177,,Balijapalem,1,0.000353,,,,,,,,,,859,30,0.01059
,,,,KOTAURATLA,6,0.002118,,Ballanki,1,0.000353,,,,,,,,,,860,24,0.008472
,,,,KOTHA PATNAM,7,0.002471,,Balliparru,1,0.000353,,,,,,,,,,861,10,0.00353
,,,,KOTHACHERUVU,8,0.002824,,Balliputtuga,7,0.002471,,,,,,,,,,862,57,0.020121
,,,,KOTHAPALLE,14,0.004942,,Bandakindapalle,2,0.000706,,,,,,,,,,901,16,0.005648
,,,,KOTHAVALASA,6,0.002118,,Bandameedapalle,1,0.000353,,,,,,,,,,902,8,0.002824
,,,,KOTHURU,39,0.013767,,Bandapalle,3,0.001059,,,,,,,,,,903,2,0.000706
,,,,KOWTHALAM,5,0.001765,,Bandarlapalle,18,0.006354,,,,,,,,,,905,5,0.001765
,,,,KOYYALAGUDEM,20,0.00706,,Bandarupalle,1,0.000353,,,,,,,,,,906,4,0.001412
,,,,KRISHNAGIRI,9,0.003177,,Bandellapaya,3,0.001059,,,,,,,,,,907,1,0.000353
,,,,KROSURU,2,0.000706,,Bandiveligandla,1,0.000353,,,,,,,,,,909,1,0.000353
,,,,KUDAIR,10,0.00353,,Bandlapalle,7,0.002471,,,,,,,,,,910,20,0.00706
,,,,KUNDURPI,64,0.022592,,Bandrevu,5,0.001765,,,,,,,,,,911,12,0.004236
